"GEO_ID","NAME","B25014I_001E","B25014I_001M","B25014I_002E","B25014I_002M","B25014I_003E","B25014I_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1.00 or less occupants per room","Margin of Error!!Total!!1.00 or less occupants per room","Estimate!!Total!!1.01 or more occupants per room","Margin of Error!!Total!!1.01 or more occupants per room"
"8600000US01608","ZCTA5 01608","573","146","540","148","33","36"
"8600000US01609","ZCTA5 01609","1403","270","1370","260","33","44"
"8600000US01610","ZCTA5 01610","2935","274","2872","274","63","52"
"8600000US01611","ZCTA5 01611","22","25","22","25","0","12"
"8600000US01612","ZCTA5 01612","8","13","8","13","0","12"
"8600000US01701","ZCTA5 01701","643","214","621","207","22","36"
"8600000US01702","ZCTA5 01702","3010","348","2870","352","140","82"
"8600000US01718","ZCTA5 01718","0","12","0","12","0","12"
"8600000US01719","ZCTA5 01719","40","39","40","39","0","17"
"8600000US01720","ZCTA5 01720","207","85","175","84","32","49"
"8600000US01721","ZCTA5 01721","379","117","379","117","0","19"
"8600000US01730","ZCTA5 01730","131","76","106","62","25","41"
"8600000US01731","ZCTA5 01731","73","46","67","46","6","10"
"8600000US01740","ZCTA5 01740","16","20","16","20","0","17"
"8600000US01741","ZCTA5 01741","27","26","27","26","0","17"
"8600000US01742","ZCTA5 01742","140","70","127","66","13","21"
"8600000US01745","ZCTA5 01745","24","28","24","28","0","12"
"8600000US01746","ZCTA5 01746","139","99","139","99","0","19"
"8600000US01747","ZCTA5 01747","12","21","12","21","0","17"
"8600000US01748","ZCTA5 01748","106","56","106","56","0","19"
"8600000US01749","ZCTA5 01749","276","117","218","104","58","56"
"8600000US01752","ZCTA5 01752","1800","356","1745","348","55","78"
"8600000US01754","ZCTA5 01754","119","95","109","95","10","17"
"8600000US01756","ZCTA5 01756","24","36","24","36","0","17"
"8600000US01757","ZCTA5 01757","894","203","740","192","154","121"
"8600000US01760","ZCTA5 01760","447","160","447","160","0","26"
"8600000US01770","ZCTA5 01770","56","36","56","36","0","12"
"8600000US01772","ZCTA5 01772","63","43","63","43","0","17"
"8600000US01773","ZCTA5 01773","41","45","41","45","0","12"
"8600000US01775","ZCTA5 01775","0","17","0","17","0","17"
"8600000US01776","ZCTA5 01776","176","90","176","90","0","19"
"8600000US01778","ZCTA5 01778","111","43","111","43","0","19"
"8600000US01801","ZCTA5 01801","627","178","603","174","24","25"
"8600000US01803","ZCTA5 01803","210","104","210","104","0","23"
"8600000US01810","ZCTA5 01810","374","137","363","137","11","17"
"8600000US01821","ZCTA5 01821","220","101","220","101","0","26"
"8600000US01824","ZCTA5 01824","197","80","197","80","0","23"
"8600000US01826","ZCTA5 01826","487","156","487","156","0","26"
"8600000US01827","ZCTA5 01827","10","11","10","11","0","12"
"8600000US01830","ZCTA5 01830","1716","267","1654","267","62","63"
"8600000US01832","ZCTA5 01832","1566","245","1512","246","54","47"
"8600000US01833","ZCTA5 01833","144","92","144","92","0","17"
"8600000US01834","ZCTA5 01834","51","47","51","47","0","17"
"8600000US01835","ZCTA5 01835","485","176","375","151","110","100"
"8600000US01840","ZCTA5 01840","1764","108","1581","145","183","81"
"8600000US01841","ZCTA5 01841","12108","367","11243","393","865","180"
"8600000US01843","ZCTA5 01843","5144","337","4784","377","360","159"
"8600000US01844","ZCTA5 01844","4114","331","3800","353","314","150"
"8600000US01845","ZCTA5 01845","658","187","658","187","0","26"
"8600000US01850","ZCTA5 01850","1173","293","1173","293","0","19"
"8600000US01851","ZCTA5 01851","1147","187","1068","188","79","57"
