"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US29127","ZCTA5 29127","8339","620","8274","618","65","52"
"8600000US29130","ZCTA5 29130","5755","562","5712","552","43","87"
"8600000US29150","ZCTA5 29150","39616","1246","37929","1275","1687","468"
"8600000US29204","ZCTA5 29204","18709","814","18509","829","200","76"
"8600000US29006","ZCTA5 29006","10720","862","10087","965","633","358"
"8600000US29010","ZCTA5 29010","12469","483","12046","483","423","3"
"8600000US29031","ZCTA5 29031","1136","242","1125","238","11","22"
"8600000US29048","ZCTA5 29048","4825","781","4729","786","96","101"
"8600000US29062","ZCTA5 29062","131","108","131","108","0","12"
"8600000US29065","ZCTA5 29065","509","171","509","171","0","12"
"8600000US29067","ZCTA5 29067","11093","955","11065","953","28","32"
"8600000US29073","ZCTA5 29073","46555","1429","44337","1395","2218","637"
"8600000US29107","ZCTA5 29107","2737","460","2737","460","0","12"
